cuda:0
>>> Training on scheme:  random_split
Training on fold 1
cldnn

>>> Training

Train - Loss:0.6947, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6966, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:1
Best model updated:  0.6965709015727043
Train - Loss:0.6945, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6964, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:2
Best model updated:  0.6963782399892807
Train - Loss:0.6942, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6960, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:3
Best model updated:  0.6960209161043167
Train - Loss:0.6938, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6957, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:4
Best model updated:  0.6957130908966065
Train - Loss:0.6934, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6953, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:5
Best model updated:  0.6953341260552406
Train - Loss:0.6928, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6947, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:6
Best model updated:  0.6946691200137138
Train - Loss:0.6917, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6938, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:7
Best model updated:  0.6938051179051399
Train - Loss:0.6899, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6921, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:8
Best model updated:  0.6921103417873382
Train - Loss:0.6872, Accuracy:0.4949, F1:0.6621, Precision:0.4949, Recall:1.0000                || Val - Loss:0.6892, Accuracy:0.4750, F1:0.6441, Precision:0.4750, Recall:1.0000 Epoch:9
Best model updated:  0.6892220556735993
Train - Loss:0.6828, Accuracy:0.5255, F1:0.6737, Precision:0.5106, Recall:0.9897                || Val - Loss:0.6849, Accuracy:0.5750, F1:0.6667, Precision:0.5312, Recall:0.8947 Epoch:10
Best model updated:  0.6849075645208359
Train - Loss:0.6764, Accuracy:0.6735, F1:0.7377, Precision:0.6122, Recall:0.9278                || Val - Loss:0.6787, Accuracy:0.6250, F1:0.6809, Precision:0.5714, Recall:0.8421 Epoch:11
Best model updated:  0.6787098705768585
