cuda:0
>>> Training on scheme:  random_split
Training on fold 1
lstm

>>> Training

Train - Loss:0.6932, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6924, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Train - Loss:0.6931, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6923, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:2
Train - Loss:0.6930, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6922, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:3
Train - Loss:0.6930, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6921, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:4
Train - Loss:0.6929, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6919, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:5
Train - Loss:0.6928, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6918, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:6
Train - Loss:0.6927, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6916, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:7
Train - Loss:0.6925, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6913, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:8
Train - Loss:0.6923, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6911, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:9
Train - Loss:0.6922, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6907, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:10
Train - Loss:0.6919, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6904, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:11
Train - Loss:0.6915, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6898, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:12
Train - Loss:0.6908, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6889, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:13
Train - Loss:0.6895, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6874, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:14
Train - Loss:0.6885, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6852, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:15
Train - Loss:0.6861, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.6815, Accuracy:0.5000, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:16
Train - Loss:0.6827, Accuracy:0.5204, F1:0.0962, Precision:0.7143, Recall:0.0515                || Val - Loss:0.6754, Accuracy:0.4750, F1:0.1600, Precision:0.3333, Recall:0.1053 Epoch:17
Train - Loss:0.6776, Accuracy:0.5612, F1:0.2586, Precision:0.7895, Recall:0.1546                || Val - Loss:0.6688, Accuracy:0.4500, F1:0.3125, Precision:0.3846, Recall:0.2632 Epoch:18
Best model updated:  0.6687583059072495
Train - Loss:0.6690, Accuracy:0.6224, F1:0.4308, Precision:0.8485, Recall:0.2887                || Val - Loss:0.6585, Accuracy:0.5750, F1:0.5405, Precision:0.5556, Recall:0.5263 Epoch:19
Best model updated:  0.6585420325398446
Train - Loss:0.6549, Accuracy:0.6837, F1:0.5811, Precision:0.8431, Recall:0.4433                || Val - Loss:0.6459, Accuracy:0.6250, F1:0.6341, Precision:0.5909, Recall:0.6842 Epoch:20
Best model updated:  0.645851781219244
Train - Loss:0.6315, Accuracy:0.7143, F1:0.6456, Precision:0.8361, Recall:0.5258                || Val - Loss:0.6344, Accuracy:0.6250, F1:0.6512, Precision:0.5833, Recall:0.7368 Epoch:21
Best model updated:  0.6343918725848198
Train - Loss:0.6007, Accuracy:0.7296, F1:0.6624, Precision:0.8667, Recall:0.5361                || Val - Loss:0.6305, Accuracy:0.6500, F1:0.6667, Precision:0.6087, Recall:0.7368 Epoch:22
Best model updated:  0.6305107295513153
