cuda
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.5427, Accuracy:0.8265, F1:0.8191, Precision:0.8462, Recall:0.7938                || Val - Loss:0.6823, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:1
Best model updated:  0.6822714626789093
Train - Loss:0.4023, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.6521, Accuracy:0.8750, F1:0.8571, Precision:0.9375, Recall:0.7895 Epoch:2
Best model updated:  0.6520752757787704
Train - Loss:0.3633, Accuracy:0.9133, F1:0.9137, Precision:0.9000, Recall:0.9278                || Val - Loss:0.6026, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:3
Best model updated:  0.6026152610778809
Train - Loss:0.3369, Accuracy:0.9184, F1:0.9184, Precision:0.9091, Recall:0.9278                || Val - Loss:0.5393, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:4
Best model updated:  0.539257725328207
Train - Loss:0.3390, Accuracy:0.9031, F1:0.9016, Precision:0.9062, Recall:0.8969                || Val - Loss:0.4781, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:5
Best model updated:  0.4781060054898262
Train - Loss:0.3207, Accuracy:0.9082, F1:0.9082, Precision:0.8990, Recall:0.9175                || Val - Loss:0.4223, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:6
Best model updated:  0.42232840955257417
Train - Loss:0.3169, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.3920, Accuracy:0.9250, F1:0.9231, Precision:0.9000, Recall:0.9474 Epoch:7
Best model updated:  0.39204678498208523
Train - Loss:0.3096, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.3749, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:8
Best model updated:  0.3749458588659763
Train - Loss:0.3265, Accuracy:0.8724, F1:0.8663, Precision:0.9000, Recall:0.8351                || Val - Loss:0.3540, Accuracy:0.9000, F1:0.9000, Precision:0.8571, Recall:0.9474 Epoch:9
Best model updated:  0.3540234509855509
Train - Loss:0.2973, Accuracy:0.9082, F1:0.9032, Precision:0.9438, Recall:0.8660                || Val - Loss:0.3294, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:10
Best model updated:  0.3294322952628136
Train - Loss:0.3071, Accuracy:0.8980, F1:0.8936, Precision:0.9231, Recall:0.8660                || Val - Loss:0.3031, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:11
Best model updated:  0.30305149480700494
Train - Loss:0.2968, Accuracy:0.9082, F1:0.9053, Precision:0.9247, Recall:0.8866                || Val - Loss:0.2794, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:12
Best model updated:  0.2793952623382211
Train - Loss:0.2904, Accuracy:0.9184, F1:0.9158, Precision:0.9355, Recall:0.8969                || Val - Loss:0.2688, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:13
Best model updated:  0.26880029067397115
Train - Loss:0.2826, Accuracy:0.9286, F1:0.9271, Precision:0.9368, Recall:0.9175                || Val - Loss:0.2708, Accuracy:0.9000, F1:0.8889, Precision:0.9412, Recall:0.8421 Epoch:14
Train - Loss:0.3108, Accuracy:0.8980, F1:0.8969, Precision:0.8969, Recall:0.8969                || Val - Loss:0.2652, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:15
Best model updated:  0.2651927606202662
Train - Loss:0.2819, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2646, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:16
Best model updated:  0.2646123248152435
Train - Loss:0.2862, Accuracy:0.9133, F1:0.9119, Precision:0.9167, Recall:0.9072                || Val - Loss:0.2685, Accuracy:0.9000, F1:0.8824, Precision:1.0000, Recall:0.7895 Epoch:17
Train - Loss:0.2850, Accuracy:0.9184, F1:0.9167, Precision:0.9263, Recall:0.9072                || Val - Loss:0.2664, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:18
Train - Loss:0.2818, Accuracy:0.9133, F1:0.9110, Precision:0.9255, Recall:0.8969                || Val - Loss:0.2688, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:19
Train - Loss:0.2653, Accuracy:0.9337, F1:0.9326, Precision:0.9375, Recall:0.9278                || Val - Loss:0.2666, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:20
Train - Loss:0.2713, Accuracy:0.9388, F1:0.9381, Precision:0.9381, Recall:0.9381                || Val - Loss:0.2638, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:21
Best model updated:  0.2637593556195498
Train - Loss:0.2824, Accuracy:0.9082, F1:0.9053, Precision:0.9247, Recall:0.8866                || Val - Loss:0.2630, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:22
Best model updated:  0.2629907514899969
Train - Loss:0.2995, Accuracy:0.8980, F1:0.8969, Precision:0.8969, Recall:0.8969                || Val - Loss:0.2699, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:23
Train - Loss:0.2629, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2747, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:24
Train - Loss:0.2668, Accuracy:0.9286, F1:0.9271, Precision:0.9368, Recall:0.9175                || Val - Loss:0.2746, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:25
Train - Loss:0.2650, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2674, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:26
Train - Loss:0.2621, Accuracy:0.9541, F1:0.9538, Precision:0.9490, Recall:0.9588                || Val - Loss:0.2578, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:27
Best model updated:  0.25777030400931833
Train - Loss:0.2641, Accuracy:0.9541, F1:0.9538, Precision:0.9490, Recall:0.9588                || Val - Loss:0.2557, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:28
Best model updated:  0.2556966617703438
Train - Loss:0.2620, Accuracy:0.9439, F1:0.9430, Precision:0.9479, Recall:0.9381                || Val - Loss:0.2634, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:29
Train - Loss:0.2683, Accuracy:0.9388, F1:0.9362, Precision:0.9670, Recall:0.9072                || Val - Loss:0.2617, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:30
Train - Loss:0.2543, Accuracy:0.9388, F1:0.9362, Precision:0.9670, Recall:0.9072                || Val - Loss:0.2555, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:31
Best model updated:  0.25554889626801014
Train - Loss:0.2476, Accuracy:0.9286, F1:0.9255, Precision:0.9560, Recall:0.8969                || Val - Loss:0.2544, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:32
Best model updated:  0.2543605951592326
Train - Loss:0.2634, Accuracy:0.9388, F1:0.9368, Precision:0.9570, Recall:0.9175                || Val - Loss:0.2505, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:33
Best model updated:  0.2504928385838866
Train - Loss:0.2470, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2493, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:34
Best model updated:  0.24926640689373017
Train - Loss:0.2623, Accuracy:0.9286, F1:0.9263, Precision:0.9462, Recall:0.9072                || Val - Loss:0.2466, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:35
Best model updated:  0.2466499324887991
Train - Loss:0.2612, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2516, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:36
Train - Loss:0.2648, Accuracy:0.9337, F1:0.9319, Precision:0.9468, Recall:0.9175                || Val - Loss:0.2508, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:37
Train - Loss:0.2479, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2493, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:38
Train - Loss:0.2518, Accuracy:0.9337, F1:0.9312, Precision:0.9565, Recall:0.9072                || Val - Loss:0.2488, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:39
Train - Loss:0.2452, Accuracy:0.9592, F1:0.9588, Precision:0.9588, Recall:0.9588                || Val - Loss:0.2520, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:40
Train - Loss:0.2520, Accuracy:0.9337, F1:0.9319, Precision:0.9468, Recall:0.9175                || Val - Loss:0.2518, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:41
Train - Loss:0.2561, Accuracy:0.9388, F1:0.9375, Precision:0.9474, Recall:0.9278                || Val - Loss:0.2541, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:42
